id1,station1,id2,station2,line,distance
BP6,Bukit Panjang,BP7,Petir,Bukit Panjang LRT,0.4
BP2,South View,BP3,Keat Hong,Bukit Panjang LRT,0.5
BP4,Teck Whye,BP5,Phoenix,Bukit Panjang LRT,0.5
BP8,Pending,BP9,Bangkit,Bukit Panjang LRT,0.5
BP10,Fajar,BP11,Segar,Bukit Panjang LRT,0.5
BP1,Choa Chu Kang,BP2,South View,Bukit Panjang LRT,0.6
BP3,Keat Hong,BP4,Teck Whye,Bukit Panjang LRT,0.6
BP6,Bukit Panjang,BP13,Senja,Bukit Panjang LRT,0.6
BP7,Petir,BP8,Pending,Bukit Panjang LRT,0.6
BP12,Jelapang,BP13,Senja,Bukit Panjang LRT,0.6
BP5,Phoenix,BP6,Bukit Panjang,Bukit Panjang LRT,0.7
BP11,Segar,BP12,Jelapang,Bukit Panjang LRT,0.7
BP9,Bangkit,BP10,Fajar,Bukit Panjang LRT,0.9
CC1,Dhoby Ghaut,CC2,Bras Basah,Circle Line,0.6
CC2,Bras Basah,CC3,Esplanade,Circle Line,0.7
CC7,Mountbatten,CC8,Dakota,Circle Line,0.7
CC3,Esplanade,CC4,Promenade,Circle Line,0.8
CC4,Promenade,CC5,Nicoll Highway,Circle Line,0.8
CC22,Buona Vista,CC23,one-north,Circle Line,0.8
CC23,one-north,CC24,Kent Ridge,Circle Line,0.8
CC27,Labrador Park,CC28,Telok Blangah,Circle Line,0.8
CE1,Bayfront,CE2,Marina Bay,Circle Line,0.8
CC6,Stadium,CC7,Mountbatten,Circle Line,0.9
CC13,Serangoon,CC14,Lorong Chuan,Circle Line,0.9
CC21,Holland Village,CC22,Buona Vista,Circle Line,0.9
CC10,MacPherson,CC11,Tai Seng,Circle Line,1.0
CC19,Botanic Gardens,CC20,Farrer Road,Circle Line,1.0
CC9,Paya Lebar,CC10,MacPherson,Circle Line,1.1
CC8,Dakota,CC9,Paya Lebar,Circle Line,1.2
CC16,Marymount,CC17,Caldecott,Circle Line,1.2
CC11,Tai Seng,CC12,Bartley,Circle Line,1.3
CC12,Bartley,CC13,Serangoon,Circle Line,1.3
CC25,Haw Par Villa,CC26,Pasir Panjang,Circle Line,1.3
CC4,Promenade,CE1,Bayfront,Circle Line,1.3
CC20,Farrer Road,CC21,Holland Village,Circle Line,1.4
CC24,Kent Ridge,CC25,Haw Par Villa,Circle Line,1.4
CC26,Pasir Panjang,CC27,Labrador Park,Circle Line,1.4
CC5,Nicoll Highway,CC6,Stadium,Circle Line,1.5
CC28,Telok Blangah,CC29,HarbourFront,Circle Line,1.5
CC15,Bishan,CC16,Marymount,Circle Line,1.6
